data,ora,open,high,low,close,volume
2020.02.24,00:00,1.29469,1.29543,1.28864,1.29211,171888
2020.02.25,00:00,1.29210,1.30179,1.29140,1.29989,184284
2020.02.26,00:00,1.29991,1.30077,1.28927,1.29007,190284
2020.02.27,00:00,1.29014,1.29462,1.28599,1.28904,212700
2020.02.28,00:00,1.28902,1.29195,1.27255,1.28125,253492
2020.03.02,00:00,1.27991,1.28503,1.27387,1.27461,264944
2020.03.03,00:00,1.27457,1.28438,1.27457,1.28111,268228
2020.03.04,00:00,1.28111,1.28721,1.27698,1.28648,192900
2020.03.05,00:00,1.28648,1.29683,1.28603,1.29487,166512
2020.03.06,00:00,1.29494,1.30517,1.29476,1.30459,265820
2020.03.09,00:00,1.30885,1.32003,1.30342,1.30951,355876
2020.03.10,00:00,1.30958,1.30973,1.28654,1.29038,322772
2020.03.11,00:00,1.29038,1.29765,1.28035,1.28128,236952
2020.03.12,00:00,1.28127,1.28487,1.24899,1.25752,321084
2020.03.13,00:00,1.25752,1.26240,1.22597,1.22673,357952
2020.03.16,00:00,1.24015,1.24207,1.22015,1.22678,395716
2020.03.17,00:00,1.22678,1.22734,1.20009,1.20747,437904
2020.03.18,00:00,1.20748,1.21294,1.14497,1.16398,391880
2020.03.19,00:00,1.16399,1.17930,1.14095,1.14333,435108
2020.03.20,00:00,1.14340,1.19334,1.14339,1.16301,396556
2020.03.23,00:00,1.15437,1.17133,1.14462,1.15546,423180
2020.03.24,00:00,1.15570,1.17989,1.15249,1.17862,422044
2020.03.25,00:00,1.17861,1.19730,1.16383,1.18157,382176
2020.03.26,00:00,1.18155,1.22292,1.17752,1.21567,396848
2020.03.27,00:00,1.21559,1.24851,1.21436,1.24448,407016
2020.03.30,00:00,1.24388,1.24656,1.23166,1.23784,268900
2020.03.31,00:00,1.23784,1.24725,1.22419,1.24237,644688
2020.04.01,00:00,1.24237,1.24380,1.23297,1.23894,567176
2020.04.02,00:00,1.23882,1.24751,1.23482,1.23972,550488
2020.04.03,00:00,1.23972,1.24051,1.22051,1.22640,461764
2020.04.06,00:00,1.22282,1.23269,1.22095,1.22287,426836
2020.04.07,00:00,1.22287,1.23839,1.21645,1.23320,453324
2020.04.08,00:00,1.23334,1.24192,1.22876,1.23935,294548
2020.04.09,00:00,1.23937,1.24829,1.23602,1.24496,346820
2020.04.10,00:00,1.24496,1.24862,1.24419,1.24449,321132
2020.04.13,00:00,1.24586,1.25364,1.24527,1.25094,240420
